darshan_agg_perf_by_slowest,darshan_api,darshan_api_mpiio?,darshan_app,darshan_end_time,darshan_file_system,darshan_io_time,darshan_jobid,darshan_start_time,darshan_total_bytes,darshan_total_gibs,darshan_walltime,darshan_write_mode?,job_avg_radius,job_concurrent_jobs,job_max_radius,job_min_radius,lmt_bytes_covered,lmt_frac_missing,lmt_frac_zeros,lmt_mds_ave,lmt_mds_max,lmt_ops_closes,lmt_ops_getattrs,lmt_ops_getxattrs,lmt_ops_mkdirs,lmt_ops_opens,lmt_ops_renames,lmt_ops_rmdirs,lmt_ops_setattrs,lmt_ops_unlinks,lmt_oss_ave,lmt_oss_max,lmt_tot_bytes_read,lmt_tot_bytes_write,lmt_tot_missing,lmt_tot_zeros,ost_avg_bad_ost_per_oss,ost_avg_bad_overload_factor,ost_avg_kib,ost_avg_pct,ost_bad_oss_count,ost_bad_ost_count,ost_bad_pct,ost_count,ost_failures_lead_secs,ost_fullness_lead_secs,ost_max_id,ost_max_kib,ost_max_name,ost_max_pct,ost_min_id,ost_min_kib,ost_min_name,ost_min_pct
35,23971.701196,H5Part,1,BD-CATS-IO,1487815978,scratch3,65.614306,4112308,1487815904,1649291067392,1536.02200317,74,0,6.81477473837,323,10.4913876045,3.45604020046,0.966378609134,0.0,0.0,0.9813238125,2.27899,2178.0,807.0,0.0,4.0,2306.0,0.0,0.0,39.0,0.0,4.81757678299,13.6175,1.69517166592e+12,11500079298.0,0,0,0.0,1.0,78961377794,86.9928621242,0,0,0.0,36,1600,1600,19,80883490108,OST0013,89.1104803344,30,77869144712,OST001e,85.7895335531
36,19307.604429,H5Part,1,BD-CATS-IO,1487962386,scratch1,81.464613,4126010,1487962299,1649291067392,1536.02200317,87,0,4.11763794203,188,7.83733552459,0.333658695376,0.893324212832,0.219298245614,0.219298245614,1.54763847368,7.30094,68428.0,2666.0,13.0,0.0,70160.0,12.0,0.0,92.0,34.0,6.25842870614,14.451,1.84341081558e+12,2829377740.0,1,1,0.0,1.0,57329568165,63.1607927616,0,0,0.0,24,396,396,7,62922684540,OST0007,69.3228078536,8,52526514992,OST0008,57.8692014276
37,21857.001794,H5Part,1,BD-CATS-IO,1487961865,scratch2,71.962593,4126011,1487961756,1649291067392,1536.02200317,109,0,3.78623642386,187,7.78470054016,0.592927061282,0.983689331541,0.0,7.97101449275,0.613994913043,1.63893,5082.0,3035.0,25.0,1.0,5112.0,2.0,0.0,804.0,31.0,4.50562900181,15.8858,1.67549834445e+12,1139812041.0,0,44,2.0,2.0,54008283083,59.5016862049,1,2,8.33333333333,24,752,752,6,62726588804,OST0006,69.1067664192,14,51439228768,OST000e,56.6713228797
38,21296.93287,H5Part,1,BD-CATS-IO,1487962917,scratch3,73.855073,4126012,1487962799,1649291067392,1536.02200317,118,0,3.78623642386,191,7.78470054016,0.592927061282,0.974757084918,0.0,19.7777777778,0.52471476,1.85743,2096.0,582.0,1.0,0.0,2229.0,0.0,0.0,1.0,0.0,3.55382118,13.1229,1.68755297894e+12,4449154624.0,0,178,0.0,1.0,79721511410,87.8303120358,0,0,0.0,36,896,896,19,81649082272,OST0013,89.9539440052,30,78626251872,OST001e,86.6236491755
39,20657.078089,H5Part,1,BD-CATS-IO,1488016539,scratch1,76.14274,4130072,1488016457,1649291067392,1536.02200317,82,0,4.0718102695,222,7.06443557547,0.395284707521,0.976150578609,0.0,0.0,1.39936,2.63687,36260.0,4154.0,6.0,0.0,36582.0,1.0,0.0,61.0,11.0,6.34789425,15.6427,1.6840342487e+12,5552484668.0,0,0,0.0,1.0,57446847612,63.2900011803,0,0,0.0,24,554,554,7,63031661060,OST0007,69.4428688207,8,52636846532,OST0008,57.9907552393
40,20711.351272,H5Part,1,BD-CATS-IO,1488017260,scratch2,75.943212,4130073,1488017161,1649291067392,1536.02200317,99,0,4.0718102695,227,7.06443557547,0.395284707521,0.977674883201,0.0,7.34126984127,0.814859857143,2.3183,6289.0,2811.0,37.0,0.0,39496.0,26.0,0.0,298.0,6.0,4.84170824802,15.017,1.68265590784e+12,4296570669.0,0,37,2.0,2.0,54233994482,59.7503556324,1,2,8.33333333333,24,1258,1258,6,62952052576,OST0006,69.3551630326,14,51698693972,OST000e,56.9571793496
41,27139.311435,H5Part,1,BD-CATS-IO,1488018205,scratch3,57.956022,4130074,1488018137,1649291067392,1536.02200317,68,0,4.0718102695,218,7.06443557547,0.395284707521,0.941984590005,3.88888888889,8.33333333333,0.878084206195,3.04016,6293.0,1009.0,0.0,0.0,3566.0,0.0,0.0,1.0,0.0,5.00963876481,14.0232,1.67851181499e+12,72356601427.0,21,45,0.0,1.0,80050092224,88.1923141468,0,0,0.0,36,5,5,19,81977412708,OST0013,90.3156702712,30,78956795328,OST001e,86.9878135568
42,21133.334707,H5Part,1,BD-CATS-IO,1488103120,scratch1,74.426803,4133597,1488103038,1649291067392,1536.02200317,82,0,4.2450778447,331,7.76513768592,0.415166570487,0.975590800331,0.462962962963,0.462962962963,0.714558166667,1.3915,6772.0,3132.0,8.0,2.0,6898.0,6.0,2.0,664.0,66.0,5.95465116667,13.3275,1.67436237762e+12,16193813392.7,2,2,0.0,1.0,57509215125,63.3587123478,0,0,0.0,24,735,735,7,63154402796,OST0007,69.5780951201,8,52717615060,OST0008,58.0797390643
43,12152.651387,H5Part,1,BD-CATS-IO,1488103210,scratch2,129.427438,4133598,1488103071,1649291067392,1536.02200317,139,0,5.60560040021,341,9.43976651695,2.19725781249,0.907075568555,0.0,3.44827586207,0.923126103448,2.42006,19108.0,2989.0,12.0,1.0,53742.0,0.0,0.0,689.0,1.0,5.49385599138,16.1578,1.60596955136e+12,2.1228145723e+11,0,24,2.0,2.0,54514618695,60.0595232806,1,2,8.33333333333,24,768,768,6,63205606032,OST0006,69.6345064465,14,51987506372,OST000e,57.2753680388
44,26504.849674,H5Part,1,BD-CATS-IO,1488104147,scratch3,59.343349,4133599,1488104083,1649291067392,1536.02200317,64,0,4.2450778447,321,7.76513768592,0.415166570487,0.982544976927,0.0,4.56349206349,0.568943,1.45109,2065.0,836.0,0.0,0.0,2193.0,0.0,0.0,0.0,0.0,4.86452931746,12.2576,1.67859091046e+12,0.0,0,23,0.0,1.0,79977891764,88.112769883,0,0,0.0,36,1780,1780,19,81902846940,OST0013,90.2335201143,30,78881864524,OST001e,86.9052612346
45,19936.45765,H5Part,1,BD-CATS-IO,1488189564,scratch1,78.894985,4164522,1488189480,1649291067392,1536.02200317,84,0,4.37050044284,278,8.56916226898,0.713208940064,0.968440500981,0.0,0.0,2.38813941176,5.55695,64988.0,5283.0,35.0,1.0,66815.0,77.0,1.0,742.0,61.0,6.1656811348,18.9664,1.6949582889e+12,8079807633.0,0,0,0.0,1.0,57916797207,63.8077512686,0,0,0.0,24,777,777,7,63802156596,OST0007,70.2917346055,8,53120105856,OST0008,58.5231688435
