# platform,file_sys,app,api,rw,io_time,agg_perf_by_slowest,total_bytes,total_opens,total_rws,start_time,end_time,jobid
mira,mira-fs1,BD-CATS-IO,H5Part,read,54.776365,14360.431614,824822726656,32768,557824,1489706449,1489706530,1049566
mira,mira-fs1,IOR,MPIIO,write,78.732921,13318.139198,1099511627776,32769,66560,1489783524,1489783634,1050380
mira,mira-fs1,IOR,POSIX,write,67.695226,15489.659589,1099511627776,16384,262144,1489783640,1489783711,1050380
mira,mira-fs1,HACC-IO,GLEAN,write,91.268982,17233.283519,1649267703808,32768,163840,1489783717,1489783810,1050380
mira,mira-fs1,VPIC-IO,H5Part,write,61.782319,16972.104929,1099511632192,16385,66578,1489783817,1489783912,1050380
mira,mira-fs1,IOR,MPIIO,read,83.783204,12515.348498,1099511627776,32768,66560,1489783918,1489784034,1050380
mira,mira-fs1,IOR,POSIX,read,52.104921,20124.317867,1099511627776,16384,262144,1489784040,1489784120,1050380
mira,mira-fs1,HACC-IO,GLEAN,read,85.984283,18292.462245,1649267703808,32768,163840,1489784127,1489784214,1050380
mira,mira-fs1,BD-CATS-IO,H5Part,read,63.676552,12353.248123,824822726656,32768,557824,1489784221,1489784305,1050380
mira,mira-fs1,IOR,MPIIO,write,65.883186,15915.684572,1099511627776,32769,66560,1489869684,1489869782,1051096
mira,mira-fs1,IOR,POSIX,write,69.081036,15178.926942,1099511627776,16384,262144,1489869788,1489869860,1051096
mira,mira-fs1,HACC-IO,GLEAN,write,91.633162,17164.792890,1649267703808,32768,163840,1489869867,1489869960,1051096
mira,mira-fs1,VPIC-IO,H5Part,write,60.058664,17459.196280,1099511632192,16385,66578,1489869967,1489870056,1051096
mira,mira-fs1,IOR,MPIIO,read,73.127175,14339.074352,1099511627776,32768,66560,1489870062,1489870169,1051096
mira,mira-fs1,IOR,POSIX,read,54.164045,19359.263154,1099511627776,16384,262144,1489870176,1489870251,1051096
mira,mira-fs1,HACC-IO,GLEAN,read,86.988376,18081.315252,1649267703808,32768,163840,1489870258,1489870346,1051096
mira,mira-fs1,BD-CATS-IO,H5Part,read,64.263874,12240.349084,824822726656,32768,557824,1489870353,1489870443,1051096
