# Platform,File Sys,App,API,R/W,I/O Time(s),I/O b/w (GiB/s),Total Bytes,Start,End,Job ID
mira,mira-fs1,HACC-IO,GLEAN,write,335.670521,4685.738393,1649267703808,1488148473,1488148810,1033686
mira,mira-fs1,IOR,MPIIO,read,83.321534,12584.693835,1099511627776,1488148849,1488148963,1033686
mira,mira-fs1,IOR,POSIX,read,53.137269,19733.343829,1099511627776,1488148969,1488149030,1033686
mira,mira-fs1,HACC-IO,GLEAN,read,87.143077,18049.216249,1649267703808,1488149037,1488149125,1033686
mira,mira-fs1,IOR,MPIIO,write,78.04008,13436.377866,1099511627776,1488231367,1488231484,1034384
mira,mira-fs1,IOR,POSIX,write,71.840139,14595.962862,1099511627776,1488231490,1488231565,1034384
mira,mira-fs1,HACC-IO,GLEAN,write,93.829501,16763.003544,1649267703808,1488231572,1488231667,1034384
mira,mira-fs1,VPIC-IO,H5Part,write,59.912088,17501.910467,1099511632192,1488231674,1488231764,1034384
mira,mira-fs1,IOR,MPIIO,read,81.282706,12900.357955,1099511627776,1488231771,1488231887,1034384
mira,mira-fs1,IOR,POSIX,read,52.725975,19887.275632,1099511627776,1488231923,1488231982,1034384
mira,mira-fs1,HACC-IO,GLEAN,read,88.887011,17695.096633,1649267703808,1488231988,1488232078,1034384
mira,mira-fs1,BD-CATS-IO,H5Part,read,72.447807,10857.640528,824822726656,1488232086,1488232179,1034384
mira,mira-fs1,IOR,MPIIO,write,68.086177,15400.717928,1099511627776,1488348038,1488348129,1035041
mira,mira-fs1,IOR,POSIX,write,75.807737,13832.044544,1099511627776,1488348136,1488348215,1035041
mira,mira-fs1,HACC-IO,GLEAN,write,95.636734,16446.235545,1649267703808,1488348223,1488348320,1035041
mira,mira-fs1,VPIC-IO,H5Part,write,59.962008,17487.339750,1099511632192,1488348327,1488348418,1035041
mira,mira-fs1,IOR,MPIIO,read,70.121524,14953.696579,1099511627776,1488348425,1488348526,1035041
mira,mira-fs1,IOR,POSIX,read,52.491442,19976.132477,1099511627776,1488348533,1488348590,1035041
mira,mira-fs1,HACC-IO,GLEAN,read,101.312342,15524.902701,1649267703808,1488348598,1488348700,1035041
mira,mira-fs1,BD-CATS-IO,H5Part,read,69.491025,11319.623588,824822726656,1488348707,1488348798,1035041
